1,一,丨,丶,丿,乙,亅,2,二,亠,人,儿,入,八,冂,冖,冫,几,凵
,yī,gǔn,zhǔ,piě,yǐ,jué,,èr,tóu,rén,ér,rù,bā,jiōng,mì,bīng,jī,kǎn
,one,line,dot,slash,second,hook,,two,lid,man,"son, legs",enter,eight,wide,cloth cover,ice,table,receptacle
刀,力,勹,匕,匚,匸,十,卜,卩,厂,厶,又,3,口,囗,土,士,夂,夊
dāo,lì,bāo,bǐ,fāng,xǐ/xì,shí,bǔ,jié,hǎn[1],sī,yòu,,kǒu,wéi,tǔ,shì,zhǐ,suī
knife,power,wrap,spoon,box,hiding enclosure,ten,divination,seal (device),cliff,private,again,,mouth,enclosure,earth,scholar,go,go slowly
夕,大,女,子,宀,寸,小,尢,尸,屮,山,巛,工,己,巾,干,幺,广,廴
xī,dà,nǚ,zǐ,mián,cùn,xiǎo,wāng,shī,chè,shān,chuān,gōng,jǐ,jīn,gān,yāo,guǎng,yǐn
evening,big,woman,child,roof,inch,small,lame,corpse,sprout,mountain,river,work,oneself,turban,dry,short thread,dotted cliff,long stride
廾,弋,弓,彐,彡,彳,4,心,戈,戶,手,支,攴,文,斗,斤,方,无,日
gǒng,yì,gōng,jì,shān,chì,,xīn,gē,hù,shǒu,zhī,pū,wén,dǒu,jīn,fāng,wú,rì
arch,shoot,bow,snout,bristle,step,,heart,halberd,door,hand,branch,"rap, tap",script,dipper,axe,square,not,sun
曰,月,木,欠,止,歹,殳,毋,比,毛,氏,气,水,火,爪,父,爻,爿,片
yuē,yuè,mù,qiàn,zhǐ,dǎi,shū,wú,bǐ,máo,shì,qì,shuǐ,huǒ,zhǎo,fù,yáo,qiáng,piàn
say,moon,tree,lack,stop,death,weapon,do not,compare,fur,clan,steam,water,fire,claw,father,Trigrams,split wood,slice
牙,牛,犬,5,玄,玉,瓜,瓦,甘,生,用,田,疋,疒,癶,白,皮,皿,目
yá,niú,quǎn,,xuán,yù,guā,wǎ,gān,shēng,yòng (shuǎi),tián,pǐ,nè,bō,bái,pí,mǐn,mù
fang,cow,dog,,profound,jade,melon,tile,sweet,life,use,field,bolt of cloth,sickness,footsteps,white,skin,dish,eye
矛,矢,石,示,禸,禾,穴,立,6,竹,米,糸,缶,网,羊,羽,老,而,耒
máo,shǐ,shí,shì,róu,hé,xué,lì,,zhú,mǐ,mì,fǒu,wǎng,yáng,yǔ,lǎo,ér,lěi
spear,arrow,stone,spirit,track,grain,cave,stand,,bamboo,rice,silk,jar,net,sheep,feather,old,and,plow
耳,聿,肉,臣,自,至,臼,舌,舛,舟,艮,色,艸,虍,虫,血,行,衣 (⻂),襾
ěr,yù,ròu,chén,zì,zhì,jiù,shé,chuǎn,zhōu,gèn,sè,cǎo,hū,chóng,xuè,xíng,yī,yà
ear,brush,meat,minister,self,arrive,mortar,tongue,oppose,boat,stopping,color,grass,tiger,insect,blood,walk enclosure,clothes,cover
7,見,角,言 (訁),谷,豆,豕,豸,貝,赤,走,足,身,車,辛,辰,辵,邑,酉
,jiàn,jiǎo,yán,gǔ,dòu,shǐ,zhì,bèi,chì,zǒu,zú,shēn,chē,xīn,chén,chuò,yì,yǒu
,see,horn,speech,valley,bean,pig,badger,shell,red,run,foot,body,cart,bitter,morning,walk,city,wine
釆,里,8,金 (釒),長,門,阜,隶,隹,雨,青,非,9,面,革,韋,韭,音,頁
biàn,lǐ,,jīn,cháng,mén,fù,lì,zhuī,yǔ,qīng,fēi,,miàn,gé,wéi,jiǔ,yīn,yè
distinguish,village,,gold,long,gate,mound,slave,short-tailed bird,rain,blue,wrong,,face,leather,tanned leather,leek,sound,leaf
風,飛,食 (飠),首,香,10/+,馬,骨,高,髟,鬥,鬯,鬲,鬼,魚,鳥,鹵,鹿,麥
fēng,fēi,shí,shǒu,xiāng,,mǎ,gǔ,gāo,biāo,dòu,chàng,lì,guǐ,yú,niǎo,lǔ,lù,mài
wind,fly,eat,head,fragrant,,horse,bone,tall,hair,fight,sacrificial wine,cauldron,ghost,fish,bird,salt,deer,wheat
麻,黃,黍,黑,黹,黽,鼎,鼓,鼠,鼻,齊,齒,龍,龜,龠,,,,
má,huáng,shǔ,hēi,zhǐ,mǐn,dǐng,gǔ,shǔ,bí,qí,chǐ,lóng,guī,yuè,,,,
hemp,yellow,millet,black,embroidery,frog,tripod,drum,rat,nose,even,tooth,dragon,turtle,flute,,,,
